,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
233,2.6267851073127395,0.7211102550927979,0.5,1.61245154965971,0.28460498941515416,3.1622776601683795,6.082762530298219,0.9984237577301533,1.8601075237738274,0.7071067811865476,3.3166247903554,5
241,3.4641016151377544,0.6164414002968976,0.7483314773547883,1.449137674618944,0.30495901363953815,2.449489742783178,4.898979485566356,0.9996249296611205,1.772004514666935,0.8426149773176358,3.3015148038438356,6
268,2.6267851073127395,0.7348469228349535,0.2,1.7320508075688772,0.27748873851023215,2.6457513110645907,5.196152422706632,0.9993497886125758,1.9209372712298547,0.9539392014169457,3.0659419433511785,6
299,2.6267851073127395,0.8185352771872451,0.2449489742783178,1.449137674618944,0.282842712474619,2.8284271247461903,5.744562646538029,0.9992246994545321,1.9183326093250879,0.8426149773176358,3.0983866769659336,5
1104,2.8284271247461903,0.6928203230275509,0.5830951894845301,1.4832396974191326,0.2701851217221259,4.0,5.0,0.996794863550169,1.8110770276274832,0.812403840463596,3.521363372331802,6
937,3.4641016151377544,0.7937253933193772,0.7071067811865476,1.1832159566199232,0.2664582518894845,2.449489742783178,5.0990195135927845,0.9989544534161705,1.752141546793523,0.7745966692414834,3.22490309931942,4
1253,2.8106938645110393,0.812403840463596,0.0,1.1832159566199232,0.30983866769659335,2.449489742783178,3.605551275463989,0.9978426729700429,1.8520259177452134,0.7615773105863908,3.082207001484488,5
959,2.8284271247461903,0.7681145747868608,0.22360679774997896,1.4142135623730951,0.29832867780352595,3.4641016151377544,5.656854249492381,0.9986741210224684,1.833030277982336,0.7810249675906654,3.1622776601683795,5
670,2.6267851073127395,0.6324555320336759,0.4898979485566356,1.5811388300841898,0.28809720581775866,5.477225575051661,6.708203932499369,0.9979478944313676,1.8055470085267789,0.7615773105863908,3.1622776601683795,5
793,2.7748873851023217,0.7745966692414834,0.0,1.61245154965971,0.2345207879911715,2.6457513110645907,3.605551275463989,0.9981933680404814,1.8384776310850235,0.7483314773547883,3.286335345030997,5
232,2.9154759474226504,0.6082762530298219,0.4472135954999579,1.6733200530681511,0.3,4.242640687119285,7.615773105863909,0.9989994994993742,1.8275666882497066,0.8366600265340756,3.0983866769659336,6
1532,2.6832815729997477,0.7280109889280518,0.36055512754639896,1.4142135623730951,0.24083189157584592,4.242640687119285,4.69041575982343,0.99786271600857,1.7916472867168918,0.8246211251235321,3.146426544510455,6
382,2.8809720581775866,0.5099019513592785,0.648074069840786,1.4142135623730951,0.282842712474619,3.3166247903554,5.196152422706632,0.9986991538997116,1.7916472867168918,0.8944271909999159,3.0659419433511785,6
473,3.146426544510455,0.5916079783099616,0.7416198487095663,1.449137674618944,0.24899799195977465,2.23606797749979,3.7416573867739413,0.9985489472229191,1.8055470085267789,0.8888194417315589,3.255764119219941,5
236,2.6832815729997477,0.7937253933193772,0.0,1.378404875209022,0.31144823004794875,3.7416573867739413,6.164414002968976,0.9983736775376242,1.835755975068582,0.7615773105863908,3.0,6
1463,2.6267851073127395,0.7937253933193772,0.1,1.5491933384829668,0.27568097504180444,3.7416573867739413,6.244997998398398,0.9976071371035795,1.8275666882497066,0.7280109889280518,3.286335345030997,6
1000,2.7386127875258306,0.6557438524302001,0.5477225575051661,1.4832396974191326,0.24899799195977465,2.449489742783178,3.4641016151377544,0.9974718041127779,1.8547236990991407,0.848528137423857,3.391164991562634,7
1148,2.792848008753788,0.6244997998398398,0.648074069840786,1.4142135623730951,0.29325756597230357,3.0,4.58257569495584,0.9976271848741893,1.841195263952197,0.812403840463596,3.40587727318528,6
732,2.701851217221259,0.9137833441248533,0.17320508075688773,1.449137674618944,0.30331501776206204,3.1622776601683795,4.358898943540674,0.9982985525382675,1.841195263952197,0.6855654600401044,3.0983866769659336,5
246,2.6645825188948455,0.8246211251235321,0.2645751311064591,1.378404875209022,0.27386127875258304,4.0,7.14142842854285,0.9984237577301533,1.8384776310850235,0.7211102550927979,3.082207001484488,5
1468,2.701851217221259,0.6928203230275509,0.565685424949238,1.449137674618944,0.24899799195977465,5.5677643628300215,7.3484692283495345,0.9986390739401299,1.816590212458495,0.806225774829855,3.1622776601683795,7
614,3.03315017762062,0.8689073598491384,0.4242640687119285,1.4832396974191326,0.3847076812334269,3.1622776601683795,10.14889156509222,0.9984487968844471,1.6941074346097416,1.1661903789690602,3.1937438845342623,6
1494,2.5298221281347035,0.5567764362830022,0.3,1.1832159566199232,0.2569046515733026,3.872983346207417,5.291502622129181,0.9972913315576346,1.849324200890693,0.8366600265340756,3.1622776601683795,7
1210,2.6076809620810595,0.806225774829855,0.1414213562373095,1.449137674618944,0.2792848008753788,2.8284271247461903,3.872983346207417,0.9974868420184799,1.8303005217723127,0.7874007874011811,3.22490309931942,6
38,2.3874672772626644,1.0630145812734648,0.3,1.224744871391589,0.4147288270665544,2.6457513110645907,4.358898943540674,0.9969954864491614,1.8708286933869707,0.6928203230275509,3.1304951684997055,4
541,3.082207001484488,0.6782329983125268,0.7,2.5099800796022267,0.25298221281347033,2.23606797749979,4.123105625617661,0.999399819891919,1.7916472867168918,0.8544003745317531,3.3166247903554,6
251,2.6645825188948455,0.7745966692414834,0.0,1.3416407864998738,0.2720294101747089,4.0,5.830951894845301,0.9985990186255943,1.862793601019716,0.8366600265340756,3.146426544510455,6
65,2.6832815729997477,0.85146931829632,0.22360679774997896,2.1563858652847827,0.29325756597230357,2.0,3.3166247903554,0.9980981915623331,1.8466185312619388,0.6244997998398398,3.3015148038438356,5
193,2.756809750418044,0.7416198487095663,0.458257569495584,1.4832396974191326,0.2664582518894845,2.6457513110645907,5.291502622129181,0.9981983770774224,1.8110770276274832,0.7416198487095663,3.1144823004794873,5
1058,3.146426544510455,0.7280109889280518,0.7549834435270749,1.5491933384829668,0.30495901363953815,5.477225575051661,7.211102550927978,0.9985489472229191,1.786057109949175,0.8717797887081347,3.40587727318528,7
613,2.8635642126552705,0.6244997998398398,0.6164414002968976,1.224744871391589,0.24083189157584592,3.1622776601683795,5.385164807134504,0.9980981915623331,1.8055470085267789,0.8602325267042626,3.1304951684997055,5
260,2.8106938645110393,0.5744562646538028,0.47958315233127197,1.3038404810405297,0.27748873851023215,4.242640687119285,6.708203932499369,0.9981232388838565,1.8138357147217055,0.806225774829855,3.0495901363953815,5
1138,2.7386127875258306,0.6403124237432849,0.3872983346207417,1.9235384061671346,0.322490309931942,5.385164807134504,9.695359714832659,0.998929426936658,1.772004514666935,0.7615773105863908,3.0166206257996713,5
1473,2.4698178070456938,0.7745966692414834,0.282842712474619,1.3416407864998738,0.2664582518894845,3.7416573867739413,6.708203932499369,0.996674470426528,1.8384776310850235,0.7348469228349535,3.3166247903554,5
112,2.898275349237888,0.7745966692414834,0.31622776601683794,1.4832396974191326,0.29154759474226505,3.7416573867739413,10.535653752852738,0.9981983770774224,1.7748239349298849,0.812403840463596,3.1304951684997055,5
569,2.4899799195977463,0.6,0.4898979485566356,1.4832396974191326,0.3082207001484488,4.358898943540674,6.48074069840786,0.9972963451251589,1.8894443627691184,0.7549834435270749,3.420526275297414,6
1033,2.7386127875258306,0.7549834435270749,0.282842712474619,1.61245154965971,0.29832867780352595,3.7416573867739413,5.196152422706632,0.9979579149443126,1.816590212458495,0.7681145747868608,3.22490309931942,6
1111,2.32379000772445,0.648074069840786,0.5196152422706632,1.4142135623730951,0.30331501776206204,4.795831523312719,7.416198487095663,0.9973514927045529,1.944222209522358,0.8,3.5071355833500366,7
367,3.22490309931942,0.758287544405155,0.7810249675906654,1.61245154965971,0.27568097504180444,3.3166247903554,4.898979485566356,1.0,1.7776388834631178,0.8306623862918074,3.0,5
478,3.0983866769659336,0.8246211251235321,0.4898979485566356,1.4832396974191326,0.2949576240750525,2.23606797749979,5.291502622129181,0.999399819891919,1.772004514666935,0.7745966692414834,3.1937438845342623,5
1019,2.6457513110645907,0.7071067811865476,0.37416573867739417,1.3416407864998738,0.2792848008753788,3.1622776601683795,4.795831523312719,0.998178340778841,1.8788294228055935,0.7810249675906654,3.22490309931942,5
1107,3.0166206257996713,0.5477225575051661,0.6403124237432849,1.4142135623730951,0.260768096208106,3.1622776601683795,4.898979485566356,0.9976121490840014,1.8083141320025125,0.9219544457292888,3.420526275297414,7
1456,2.449489742783178,0.7348469228349535,0.2449489742783178,1.3416407864998738,0.22360679774997896,6.164414002968976,9.433981132056603,0.9961726757947138,1.816590212458495,0.7071067811865476,3.248076353782343,6
704,3.0166206257996713,0.8746427842267951,0.2,1.2649110640673518,0.2792848008753788,2.0,3.7416573867739413,0.9989994994993742,1.8138357147217055,0.7348469228349535,3.1144823004794873,4
890,2.6832815729997477,0.5830951894845301,0.4898979485566356,1.4142135623730951,0.2664582518894845,5.477225575051661,7.211102550927978,0.9978777480232737,1.8547236990991407,0.7615773105863908,3.1780497164141406,5
1202,2.932575659723036,0.648074069840786,0.6244997998398398,1.3416407864998738,0.260768096208106,2.449489742783178,3.4641016151377544,0.9975770646922473,1.8303005217723127,0.8306623862918074,3.420526275297414,8
865,2.6832815729997477,0.7968688725254613,0.2645751311064591,1.61245154965971,0.27748873851023215,4.0,9.273618495495704,0.9987392051982339,1.8734993995195195,0.7348469228349535,3.1144823004794873,5
1314,2.6457513110645907,0.6,0.458257569495584,1.5491933384829668,0.29325756597230357,4.898979485566356,8.306623862918075,0.997777530314248,1.8439088914585775,0.7280109889280518,3.1780497164141406,6
